aX,aY,aZ,gX,gY,gZ
0.845,0.186,0.428,1.953,-34.668,17.639
0.855,0.175,0.475,3.296,-34.912,16.418
0.866,0.182,0.517,4.639,-33.386,15.991
0.869,0.189,0.552,6.226,-30.823,15.686
0.876,0.171,0.567,8.667,-27.100,15.076
0.878,0.154,0.572,12.146,-21.790,14.038
0.879,0.138,0.554,15.503,-16.724,13.794
0.878,0.137,0.526,17.029,-13.672,14.587
0.848,0.172,0.506,15.991,-13.794,17.029
0.822,0.226,0.508,12.207,-17.273,18.433
0.805,0.275,0.525,7.935,-22.156,17.029
0.811,0.298,0.557,5.005,-25.940,13.062
0.839,0.281,0.590,4.089,-27.466,7.935
0.861,0.241,0.623,4.700,-27.283,3.845
0.868,0.200,0.644,5.859,-25.391,1.404
0.868,0.167,0.651,7.019,-21.423,-0.122
0.863,0.137,0.641,8.362,-17.395,-1.526
0.862,0.104,0.625,10.742,-12.756,-2.258
0.876,0.070,0.603,12.817,-8.484,-1.160
0.873,0.057,0.578,13.367,-5.310,1.160
0.845,0.082,0.547,12.695,-3.235,4.089
0.794,0.150,0.529,12.085,-3.723,5.249
0.778,0.176,0.539,12.390,-6.348,2.441
0.803,0.156,0.559,13.550,-8.545,-1.648
0.822,0.139,0.577,13.000,-10.010,-3.540
0.828,0.131,0.586,11.841,-10.559,-3.235
0.828,0.126,0.590,11.230,-10.254,-2.441
0.834,0.116,0.599,10.986,-8.728,-1.587
0.839,0.112,0.604,10.193,-7.874,-0.427
0.831,0.116,0.607,10.559,-6.897,0.793
0.830,0.115,0.617,11.536,-5.798,2.136
-1.269,0.318,-1.419,75.256,-265.442,-126.831
-1.513,0.316,-1.444,74.158,-342.651,-134.583
-1.802,0.339,-1.352,78.674,-423.828,-145.874
-1.971,0.263,-1.142,90.027,-503.113,-161.865
-2.100,-0.003,-0.609,103.333,-571.045,-173.523
-2.043,-0.200,0.198,99.121,-622.498,-174.072
-1.914,-0.291,1.149,74.219,-640.137,-153.320
-1.846,-0.371,2.335,51.514,-627.563,-123.291
-1.717,-0.150,3.366,33.691,-588.806,-95.947
-1.790,0.072,3.975,16.174,-526.062,-82.520
-1.621,0.030,4.000,4.883,-447.144,-85.938
-1.510,-0.237,4.000,14.709,-378.540,-100.159
-1.166,-0.665,4.000,41.443,-322.815,-106.995
-0.761,-0.837,4.000,65.979,-275.208,-91.553
-0.555,-0.568,4.000,87.463,-225.952,-62.317
-0.302,-0.147,4.000,139.832,-140.503,-50.842
-0.260,-0.094,4.000,213.684,-55.054,-68.909
-0.142,-0.047,4.000,258.606,42.969,-93.689
0.009,0.038,3.580,227.051,71.716,-93.872
-0.089,0.077,2.854,156.494,79.468,-78.796
-0.013,0.015,2.521,86.182,86.914,-67.017
-0.011,0.007,2.446,34.607,78.125,-58.044
-0.020,0.004,2.569,8.667,82.703,-41.565
-0.110,0.255,2.783,-3.540,95.825,-22.522
-0.240,0.652,2.905,-8.606,116.455,-9.033
-0.351,1.056,2.990,-1.343,145.508,-7.935
-0.459,1.339,3.071,12.268,176.880,-18.860
-0.539,1.585,3.108,20.081,213.806,-35.583
-0.605,1.686,3.064,13.428,252.075,-57.190
-0.629,1.639,2.915,-6.775,285.828,-85.388
-0.612,1.420,2.719,-38.208,306.458,-114.441
-0.675,1.082,2.516,-77.698,320.374,-134.766
-0.783,0.796,2.291,-117.920,333.862,-146.545
-0.902,0.576,2.036,-149.353,348.511,-155.334
-1.030,0.331,1.807,-164.001,363.831,-166.199
-1.096,0.098,1.641,-162.659,379.639,-179.077
-1.111,-0.075,1.487,-153.931,396.484,-189.941
-1.156,-0.215,1.256,-141.113,412.048,-199.402
-1.220,-0.358,0.924,-120.972,426.392,-211.121
-1.308,-0.620,0.511,-97.168,437.805,-223.633
-1.250,-1.017,0.043,-83.496,442.749,-230.225
-1.091,-1.422,-0.476,-85.022,432.739,-220.703
-0.894,-1.771,-1.019,-93.201,411.316,-195.435
-0.639,-1.988,-1.464,-113.953,374.756,-154.968
-0.388,-1.998,-1.691,-143.982,315.979,-107.849
